# argv: /bin/ps -Ao pid,ppid,rss,%cpu,state,comm
# exit: 0
# at:   2026-08-24T12:51:22.075Z
#
  PID  PPID    RSS  %CPU STAT COMM
  775     1  12240   0.0 S    /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  776     1  31360   0.0 S    /usr/libexec/pkd
  777     1  46032   0.0 S    /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  778     1 156768   0.0 S    /usr/libexec/sharingd
  779     1  18768   0.0 Ss   /usr/libexec/nearbyd
  780     1  29360   0.0 S    /System/Library/PrivateFrameworks/ReplicatorCore.framework/Support/replicatord
  781     1  74352   0.0 S    /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
  782     1  46640   0.0 S    /System/Library/PrivateFrameworks/iCloudDriveCore.framework/Versions/A/Support/bird
  783     1 400528   8.4 S    /Applications/iTerm.app/Contents/MacOS/iTerm2
  784     1  24064   0.0 S    /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Support/BackgroundTaskManagementAgent.app/Contents/MacOS/BackgroundTaskManagementAgent
  785     1  25232   0.0 S    /System/Library/CoreServices/sharedfilelistd
  786     1  40768   0.0 S    /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
  787     1 555104   1.1 S    /Applications/ChatGPT.app/Contents/MacOS/ChatGPT
  788     1  24800   0.0 S    /System/Library/PrivateFrameworks/SocialLayer.framework/sociallayerd.app/Contents/MacOS/sociallayerd
  789     1  68448   0.0 S    /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
  790     1  13920   0.0 S    /usr/libexec/frauddefensed
  792     1  82832   0.0 S    /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
  793     1 374480   0.0 S    /Applications/Antigravity IDE.app/Contents/MacOS/Electron
  794     1  47824   0.0 S    /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
  795     1  45808   0.0 S    /usr/libexec/siriknowledged
  796     1 191008   0.2 S    /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
  797     1 286816   0.0 S    /System/Library/PrivateFrameworks/SiriTTSService.framework/sirittsd
  798     1  37344   0.0 S    /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  799     1  79440   0.0 S    /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
  800     1  32736   0.0 S    /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
  801     1  34608   0.0 S    /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
  802     1  25184   0.0 S    /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
  803     1 224336   0.0 S    /Applications/Parallels Desktop.app/Contents/MacOS/prl_client_app
  804     1  23664   0.0 Ss   /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSODaemon
